"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,19.9855155944824
21.147138610534,21.1659355163574
22.3600735706569,22.3688716888428
23.6425787570209,23.6294193267822
24.9986445042594,24.9989891052246
26.4324900203518,26.4278316497803
27.9485765140968,27.9401359558105
29.551621075536,29.5381813049316
31.2466113525169,31.2445888519287
33.0388210690579,33.0218811035156
34.9338264338,34.9341506958008
36.9375234895952,36.9367370605469
39.0561464582162,39.0284309387207
41.2962871372607,41.252124786377
43.6649154096032,43.5943298339844
46.169400929206,46.0771713256836
48.8175360507618,49.1525993347168
51.61756007451,51.6534309387207
54.5781848816614,54.5348014831543
57.7086220401922,57.6812477111816
61.018611465343,61.0127792358398
64.5184517239963,64.5202102661133
68.2190320772198,68.2240600585937
72.1318663606716,72.1417083740234
76.2691288082817,76.2987747192383
80.6436919306702,80.6427917480469
85.2691665661542,92.6283187866211
90.1599442289587,92.608528137207
95.3312418863901,95.3452301025391
100.799149304292,100.704048156738
106.580679108088,106.625198364258
112.693819715179,112.82266998291
119.157591303371,129.031051635742
125.992104989488,125.831916809082
133.218625402282,133.211135864258
140.859636844343,140.763442993164
148.93891324884,148.892715454102
157.481592148776,157.409240722656
166.514252888888,166.447143554687
176.064999323541,176.016311645508
186.163547257924,186.194976806641
196.841316904601,196.845397949219
208.131530643082,208.145568847656
220.069316386593,220.072235107422
232.691816877637,232.681838989258
246.038305252419,246.027954101562
260.150307233689,260.157958984375
275.071730332191,275.090240478516
290.849000458714,290.873962402344
307.531206371784,307.5185546875
325.170252410442,325.160797119141
343.821019987297,343.822052001953
363.541538344328,363.548797607422
384.393165102713,384.385223388672
406.440777168447,406.444274902344
429.752972587715,429.741821289062
454.402283980071,454.38916015625
480.465404213489,480.465087890625
508.023425023445,508.020568847656
537.162089318451,537.1669921875
567.972057957066,567.968200683594
600.549191826415,600.552124023438
634.994850099868,635.000061035156
671.416205601858,671.422546386719
709.926578261064,709.927795410156
750.645787689441,750.647521972656
793.700525984104,793.711303710937
839.224751911979,839.233825683594
887.360107703681,887.360473632812
938.256359753405,938.262939453125
992.071864596015,992.067993164062
1048.97406161114,1048.97241210937
1109.13999398728,1109.14489746094
1172.75685956679,1172.75915527344
1240.02259328568,1240.021484375
1311.1464830203,1311.13671875
1386.34982075722,1386.359375
1465.86659111209,1465.86901855469
1549.94419933992,1549.94604492187
1638.84424110172,1638.83862304687
1732.84331638267,1732.84460449219
1832.23389009409,1832.23486328125
1937.32520203688,1937.32702636719
2048.44422905773,2048.44189453125
2165.93670239161,2165.9375
2290.16818335592,2290.16772460937
2421.52520074312,2421.521484375
2560.4164534508,2560.384765625
2707.27408209079,2707.271484375
2862.55501353401,2862.5517578125
3026.74238257413,3026.7412109375
3200.34703513365,3200.34741210937
3383.90911768914,3383.90844726562
3577.9997578611,3578.00048828125
3783.22284139728,3783.22387695312
4000.21689107833,4000.21826171875
4229.65705339164,4229.6591796875
4472.25719915479,4472.26025390625
4728.77214462424,4728.7734375
5000.00000000004,5000.00146484375

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,-0.0301166476599372
21.147138610534,-0.0460037843908087
22.3600735706569,-0.0452401512567743
23.6425787570209,-0.0370089800039993
24.9986445042594,-0.0435474022627871
26.4324900203518,-0.0613586435379967
27.9485765140968,-0.0879533803353577
29.551621075536,-0.0892611722116026
31.2466113525169,-0.0603643563374743
33.0388210690579,-0.100648417572171
34.9338264338,-0.102980585403164
36.9375234895952,-0.116877969990383
39.0561464582162,-0.127494493894397
41.2962871372607,-0.236398781067276
43.6649154096032,-0.90888050855708
46.169400929206,-3.82779990675861
48.8175360507618,-7.82132698964789
51.61756007451,-3.54130570499527
54.5781848816614,-1.62877708881718
57.7086220401922,-0.837977778506364
61.018611465343,-0.508167571232458
64.5184517239963,-0.32288736363082
68.2190320772198,-0.233232510434379
72.1318663606716,-0.210263050672258
76.2691288082817,-0.185439039828978
80.6436919306702,-0.195339147762526
85.2691665661542,-0.169770330952028
90.1599442289587,-0.15567825045333
95.3312418863901,-0.254786190766521
100.799149304292,-0.138266202335545
106.580679108088,-0.152184598583229
112.693819715179,-0.121973821598146
119.157591303371,-0.0649109400649557
125.992104989488,-0.0571213228224647
133.218625402282,-0.0749012334775136
140.859636844343,-0.0262918525897111
148.93891324884,-0.00953117600139507
157.481592148776,-0.00683997999825604
166.514252888888,-0.00396154884081234
176.064999323541,-0.00604002339379655
186.163547257924,-0.00872859713076131
196.841316904601,-0.0058584411308008
208.131530643082,-0.00694027649116059
220.069316386593,-0.0064103205565098
232.691816877637,-0.00411283408694454
246.038305252419,-0.00344601224251267
260.150307233689,-0.0044272785187003
275.071730332191,-0.00476784061192466
290.849000458714,-0.00480047356928617
307.531206371784,-0.00207100212840395
325.170252410442,-0.00173944252983889
343.821019987297,-0.00197610005599331
363.541538344328,-0.00191263487364225
384.393165102713,-0.00106805827749998
406.440777168447,-0.0020965072371455
429.752972587715,-0.00152829489183604
454.402283980071,-0.000177308745548785
480.465404213489,-0.00045662183694161
508.023425023445,0.000626778158266382
537.162089318451,-0.000160111417745518
567.972057957066,0.000296494832161442
600.549191826415,-0.000930466499055119
634.994850099868,-0.000629195560805678
671.416205601858,0.000665320277476897
709.926578261064,5.45558089217109E-05
750.645787689441,0.00038129049297718
793.700525984104,0.000661169595934187
839.224751911979,0.000618476756359608
887.360107703681,-0.000375970000758388
938.256359753405,-0.00110720116442074
992.071864596015,-0.00177621595789501
1048.97406161114,-0.000831425490407467
1109.13999398728,-0.000198657199847276
1172.75685956679,-0.000543797825603643
1240.02259328568,-0.0017400356484105
